Event	ID	Name			Wwise Object Path	Notes
	10099645	StartBattle			\Default Work Unit\Interactables\TV\TV Fight\StartBattle	
	165295640	DialogStartBed			\Default Work Unit\Interactables\DialogStartBed	
	180661997	Attack			\Default Work Unit\Interactables\TV\TV Fight\Attack	
	832825332	StopNews			\Default Work Unit\Interactables\TV\StopNews	
	1122283870	MusicStart			\Default Work Unit\MusicStart	
	1254152031	DialogStartTodolist			\Default Work Unit\Interactables\DialogStartTodolist	
	1404805401	DoorOpen			\Default Work Unit\DoorOpen	
	1916415631	KillingBlow			\Default Work Unit\Interactables\TV\TV Fight\KillingBlow	
	2037790311	PourCoffee			\Default Work Unit\Interactables\PourCoffee	
	2218040726	SceneEnd			\Default Work Unit\SceneEnd	
	2401650427	DialogStartMess			\Default Work Unit\Interactables\DialogStartMess	
	2803552149	MusicEnd			\Default Work Unit\MusicEnd	
	2992915453	TextSound			\Default Work Unit\TextSound	
	3406973798	DialogStartNews			\Default Work Unit\Interactables\TV\DialogStartNews	
	4042399731	DialogStartLappy			\Default Work Unit\Interactables\DialogStartLappy	
	4058101365	GameStart			\Default Work Unit\GameStart	

State Group	ID	Name			Wwise Object Path	Notes
	3686139462	Area			\Default Work Unit\Area	

State	ID	Name	State Group			Notes
	438105790	Outside	Area			
	748895195	None	Area			
	3553349781	Inside	Area			

Custom State	ID	Name	State Group	Owner		Notes
	331524198	Outside	Area	\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Ambience		
	697435177	Inside	Area	\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Ambience		
	1059898990	Outside	Area	\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Indoor Ambience		

Source plug-ins	ID	Name	Type		Wwise Object Path	Notes
	354761123	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Ambience\Birds\Silence\Wwise Silence	
	374694948	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Ambience\Air\Gusts\Silence\Wwise Silence	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	16327500	Door Open	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\Doors, Wood, Open, Squeak, Close, Slam SND11376_F8263FB8.wem		\Actor-Mixer Hierarchy\Default Work Unit\Door\Door Open		75518
	43142548	Birds, Songbird, Chirping, Close, Single 01 SND40684	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\Birds, Songbird, Chirping, Close, Single 01 SND40684_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Ambience\Birds\Birds, Songbird, Chirping, Close, Single 01 SND40684		500800
	53618860	Alarm	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\Alarms, Clock, Digital, Beeping 01 SND24821_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Alarm		772396
	108327916	Beeps, General, Terminal, Soft SND6596	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\Beeps, General, Terminal, Soft SND6596_AC4F3A1F.wem		\Actor-Mixer Hierarchy\Default Work Unit\Text UI\Beeps, General, Terminal, Soft SND6596		6584
	176415618	Woosh 1	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\Fight, Cloth, Punch, Block, Swoosh SND4355 1_41B7B61E.wem		\Actor-Mixer Hierarchy\Default Work Unit\Interactables\TV\Fight\Impacts\Attacks\Wooshes\Woosh 1		21038
	183984303	ToDo List	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\Paper, Handle, Thin, Handling 02 SND4134_F52A528D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Interactables\ToDo List		61452
	233714797	Birds, Songbird, Chirping, Close, Single 02 SND40683	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\Birds, Songbird, Chirping, Close, Single 02 SND40683_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Ambience\Birds\Birds, Songbird, Chirping, Close, Single 02 SND40683		514112
	309471613	TV Static	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\Communications, Radio, Turn On, Receive Static, Turn Off, Short SND33146_D838B8B1.wem		\Actor-Mixer Hierarchy\Default Work Unit\Interactables\TV\TV On and Idle\TV Static		380940
	342996144	DESTRUCTION Glass Break 2	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\DESTRUCTION Glass Break 2_336209B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Interactables\TV\Fight\Impacts\Attacks\Kicks\Glass Cracks\DESTRUCTION Glass Break 2		116436
	376697386	Bass	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\Day to Day Bass_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\Day to Day\A Section\Bass		14887452
	402215997	Woosh 4	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\Fight, Cloth, Punch, Block, Swoosh SND4355 1_FDB3B717.wem		\Actor-Mixer Hierarchy\Default Work Unit\Interactables\TV\Fight\Impacts\Attacks\Wooshes\Woosh 4		25462
	452708341	Wind Whistle	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\Wind Whistle_32E3816E.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Ambience\Air\Gusts\Wind Whistle		1728128
	455980648	Door Close	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\Doors, Wood, Open, Squeak, Close, Slam SND11376_E775CD02.wem		\Actor-Mixer Hierarchy\Default Work Unit\Door\Door Close		81732
	467904998	Machines, Hvac, Extractor Unit, Block Of Flats, Air Condition, Hum SND30566	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\Machines, Hvac, Extractor Unit, Block Of Flats, Air Condition, Hum SND30566_2640ADE6.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Indoor Ambience\Machines, Hvac, Extractor Unit, Block Of Flats, Air Condition, Hum SND30566		6110896
	476913309	Boss Fight	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\Boss Fight_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\Boss Fight\Intro\Boss Fight		11760064
	495139559	Birds, Songbird, Chirping, Close, Single 03 SND40682	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\Birds, Songbird, Chirping, Close, Single 03 SND40682_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Ambience\Birds\Birds, Songbird, Chirping, Close, Single 03 SND40682		929856
	515224881	Day to Day	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\Day to Day_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\Day to Day\Intro\Day to Day		13026524
	555129500	Thud 3	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\SPORTS Soccer Kick 2_CF0531C3.wem		\Actor-Mixer Hierarchy\Default Work Unit\Interactables\TV\Fight\Impacts\Attacks\Kicks\Thud\Thud 3		37952
	585634097	Chime	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\Day to Day Chime_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\Day to Day\A Section\Chime		14887452
	629655936	DESTRUCTION Glass Break 3	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\DESTRUCTION Glass Break 3_18E2D6C9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Interactables\TV\Fight\Impacts\Attacks\Kicks\Glass Cracks\DESTRUCTION Glass Break 3		137076
	642230101	Laptop Boot	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\User Interface, Beep, Computer, Digital Beep, Short SND11436_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Interactables\Laptop Boot		50088
	660872421	Melody	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\Day to Day Melody_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\Day to Day\A Section\Melody		14887452
	662218837	TV Turn On	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\Communications, Radio, Turn On, Receive Static, Turn Off, Short SND33146_791046C3.wem		\Actor-Mixer Hierarchy\Default Work Unit\Interactables\TV\TV On and Idle\TV Turn On		33004
	677176813	The Mess	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\Designed, Braam, Organic, Slight Pitch Bend Up, Trombones SND56468 1_407B3461.wem		\Actor-Mixer Hierarchy\Default Work Unit\Interactables\The Mess		667544
	699940968	Woosh 3	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\Fight, Cloth, Punch, Block, Swoosh SND4355 1_DE623611.wem		\Actor-Mixer Hierarchy\Default Work Unit\Interactables\TV\Fight\Impacts\Attacks\Wooshes\Woosh 3		39684
	748097432	Cloth, Movement, Person In Bed, Movements Under Covers 2 SND16588	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\Cloth, Movement, Person In Bed, Movements Under Covers 2 SND16588_C6CFB18B.wem		\Actor-Mixer Hierarchy\Default Work Unit\Interactables\Bed\Cloth, Movement, Person In Bed, Movements Under Covers 2 SND16588		266404
	766819087	TV Turn Off	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\Communications, Radio, Turn On, Receive Static, Turn Off, Short SND33146_62E426AB.wem		\Actor-Mixer Hierarchy\Default Work Unit\Interactables\TV\TV Turn Off		48816
	781266119	Thud 2	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\SPORTS Soccer Kick 2_B89B99F6.wem		\Actor-Mixer Hierarchy\Default Work Unit\Interactables\TV\Fight\Impacts\Attacks\Kicks\Thud\Thud 2		37052
